THE NPOD0THE NT 0
C (20,20)
G (20,20)
FLP
power
P (20,11)
PD
Starting Solver!
Timestamp: 0.688065, rank 0, back
Timestamp: 0.688589, rank 0, front
Timestamp: 0.689301, rank 0, back
Timestamp: 0.689818, rank 0, front
Timestamp: 0.690591, rank 0, back
Timestamp: 0.691126, rank 0, front
Timestamp: 0.691831, rank 0, back
Timestamp: 0.692361, rank 0, front
Timestamp: 0.693070, rank 0, back
Timestamp: 0.693615, rank 0, front
Timestamp: 0.694322, rank 0, back
Timestamp: 0.694843, rank 0, front
Timestamp: 0.695554, rank 0, back
Timestamp: 0.696100, rank 0, front
Timestamp: 0.696808, rank 0, back
Timestamp: 0.697327, rank 0, front
Timestamp: 0.698035, rank 0, back
Timestamp: 0.698580, rank 0, front
Timestamp: 0.699288, rank 0, back
Timestamp: 0.699817, rank 0, front
Timestamp: 0.700537, rank 0, back
Timestamp: 0.701112, rank 0, front
Timestamp: 0.701822, rank 0, back
Timestamp: 0.702342, rank 0, front
Timestamp: 0.703050, rank 0, back
Timestamp: 0.703573, rank 0, front
Timestamp: 0.704292, rank 0, back
Timestamp: 0.704839, rank 0, front
Timestamp: 0.705545, rank 0, back
Timestamp: 0.706066, rank 0, front
Timestamp: 0.706773, rank 0, back
Timestamp: 0.707293, rank 0, front
